Segmento;Tráfico;Movimiento;TipoVuelo;Origen;Destino;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
1;1;1;2;Montevideo;Quito;34;0;0;0;0;0;0;0;0;0;34;0;0
1;1;1;2;Panamá;Quito;541;0;0;0;0;0;0;0;530;11;0;0;0
1;1;1;2;Pisco;Quito;6;0;0;0;0;0;0;0;0;0;6;0;0
1;1;1;2;Puerto Principe (Haiti);Quito;1277;402;0;0;0;0;0;277;137;0;0;0;461
1;1;1;2;Punta Cana (Rep. Dominicana);Quito;2820;0;433;30;0;318;239;385;0;375;500;254;286
1;1;1;2;Río de Janeiro;Quito;70;0;70;0;0;0;0;0;0;0;0;0;0
1;1;1;2;Sao Paulo;Quito;73;0;0;0;73;0;0;0;0;0;0;0;0
1;1;1;2;Valledupar (Colombia);Quito;56;0;0;0;56;0;0;0;0;0;0;0;0
1;1;1;2;Viracopos;Quito;5;0;0;0;0;0;3;2;0;0;0;0;0
1;1;1;2;Viru Viru;Quito;455;0;0;246;0;131;2;74;0;0;0;0;2
1;1;2;2;Quito;Asunción;151;0;0;0;0;0;0;47;0;0;102;0;2
1;1;2;2;Quito;Barranquilla;110;0;0;0;74;36;0;0;0;0;0;0;0
1;1;2;2;Quito;Buenos Aires;529;0;0;0;85;98;0;174;172;0;0;0;0
1;1;2;2;Quito;Carácas;1381;388;121;257;150;148;145;172;0;0;0;0;0
1;1;2;2;Quito;Cartagena;946;0;0;0;0;0;128;337;481;0;0;0;0
1;1;2;2;Quito;Córdoba (Argentina);1;0;0;0;0;1;0;0;0;0;0;0;0
1;1;2;2;Quito;Curitiba;58;0;0;0;0;0;0;0;0;58;0;0;0
1;1;2;2;Quito;Lima;258;0;131;0;68;55;0;0;0;0;3;1;0
1;1;2;2;Quito;Manaos;105;0;0;0;105;0;0;0;0;0;0;0;0
1;1;2;2;Quito;Margarita (Venezuela);582;0;0;0;0;0;0;335;247;0;0;0;0
1;1;2;2;Quito;Montevideo;148;0;0;0;77;0;0;0;0;0;69;2;0
1;1;2;2;Quito;Puerto Principe (Haiti);4;0;0;0;0;0;0;0;0;0;0;0;4
1;1;2;2;Quito;Punta Cana (Rep. Dominicana);4801;0;0;30;0;438;363;1405;1196;479;386;302;202
1;1;2;2;Quito;Río de Janeiro;251;0;179;0;0;72;0;0;0;0;0;0;0
1;1;2;2;Quito;Sao Paulo;73;0;0;0;73;0;0;0;0;0;0;0;0
1;1;2;2;Quito;Valledupar (Colombia);56;0;0;0;56;0;0;0;0;0;0;0;0
1;1;2;2;Quito;Viracopos;152;135;0;0;0;0;5;2;2;0;0;0;8
1;1;2;2;Quito;Viru Viru;206;0;0;0;0;131;3;72;0;0;0;0;0
1;1;1;2;Alexandria (Estados Unidos);Guayaquil;5350;0;0;0;860;882;779;717;545;457;377;316;417
1;1;1;2;Bogotá;Guayaquil;459;0;0;0;0;39;0;241;0;138;0;0;41
1;1;1;2;Cancún;Guayaquil;126;0;0;0;0;0;0;126;0;0;0;0;0
1;1;1;2;Cartagena;Guayaquil;168;0;0;0;0;0;0;114;54;0;0;0;0
1;1;1;2;Córdoba (Argentina);Guayaquil;252;0;0;0;164;88;0;0;0;0;0;0;0
1;1;1;2;Harlinger (Estados Unidos);Guayaquil;6402;0;0;0;388;1209;726;1168;786;510;619;518;478
1;1;1;2;Lima;Guayaquil;544;0;0;0;0;0;0;0;221;323;0;0;0
1;1;1;2;Margarita (Venezuela);Guayaquil;31;0;0;0;0;0;0;16;15;0;0;0;0
1;1;1;2;Pisco;Guayaquil;92;0;0;0;92;0;0;0;0;0;0;0;0
1;1;1;2;Puerto Principe (Haiti);Guayaquil;137;0;0;137;0;0;0;0;0;0;0;0;0
1;1;1;2;Punta Cana (Rep. Dominicana);Guayaquil;1269;0;0;44;0;0;242;391;292;5;150;145;0
1;1;1;2;San Pedro De Sula (Honduras);Guayaquil;129;0;0;129;0;0;0;0;0;0;0;0;0
1;1;1;2;Sao Paulo;Guayaquil;63;0;0;0;63;0;0;0;0;0;0;0;0
1;1;1;2;Viru Viru;Guayaquil;194;0;0;0;0;96;0;98;0;0;0;0;0
1;1;2;2;Guayaquil;Alexandria (Estados Unidos);100;0;0;0;0;0;48;18;34;0;0;0;0
1;1;2;2;Guayaquil;Barranquilla;60;0;0;0;0;0;0;0;0;0;0;60;0
1;1;2;2;Guayaquil;Bogotá;322;0;139;0;0;0;0;183;0;0;0;0;0
1;1;2;2;Guayaquil;Calama (Chile);92;0;0;0;92;0;0;0;0;0;0;0;0
1;1;2;2;Guayaquil;Carácas;184;184;0;0;0;0;0;0;0;0;0;0;0
1;1;2;2;Guayaquil;Cartagena;205;0;0;0;0;0;0;97;67;0;0;0;41
1;1;2;2;Guayaquil;Córdoba (Argentina);250;0;0;0;163;87;0;0;0;0;0;0;0
1;1;2;2;Guayaquil;Cusco (Perú);53;0;0;0;0;0;0;0;0;0;0;53;0
1;1;2;2;Guayaquil;Fort Lauderdale;39;0;0;0;0;39;0;0;0;0;0;0;0
1;1;2;2;Guayaquil;Harlinger (Estados Unidos);179;0;0;0;0;0;49;97;33;0;0;0;0
1;1;2;2;Guayaquil;Lima;221;0;0;0;0;0;0;0;221;0;0;0;0
1;1;2;2;Guayaquil;Madrid;615;327;0;0;0;0;0;288;0;0;0;0;0
1;1;2;2;Guayaquil;Margarita (Venezuela);15;0;0;0;0;0;0;15;0;0;0;0;0
1;1;2;2;Guayaquil;Punta Cana (Rep. Dominicana);2236;0;481;143;0;0;126;406;246;0;368;302;164
1;1;2;2;Guayaquil;Sao Paulo;165;0;0;0;66;0;0;99;0;0;0;0;0
1;1;2;2;Guayaquil;Viracopos;140;140;0;0;0;0;0;0;0;0;0;0;0
1;1;2;2;Guayaquil;Viru Viru;102;0;0;2;0;98;0;0;0;0;0;0;2
1;1;1;2;Caxias Do Sul (Brasil);Manta;129;0;0;0;0;0;129;0;0;0;0;0;0
1;1;1;2;Córdoba (Argentina);Manta;105;0;0;0;105;0;0;0;0;0;0;0;0
1;1;1;2;Harlinger (Estados Unidos);Manta;108;0;0;0;0;0;0;108;0;0;0;0;0
1;1;1;2;Manaos;Manta;49;0;0;0;49;0;0;0;0;0;0;0;0
1;1;1;2;Pisco;Manta;129;0;0;0;0;129;0;0;0;0;0;0;0
1;1;1;2;Punta Cana (Rep. Dominicana);Manta;329;0;0;0;0;0;0;0;0;129;129;0;71
1;1;1;2;Viracopos;Manta;144;0;0;0;0;0;144;0;0;0;0;0;0
